slug,status,ref_count,sample_files,url,title
advertising-anuncios,NO_ACCESS_OR_MISSING,2,includes/modules/advertising/class-advertising-module.php|includes/modules/advertising/class-advertising-module.php,http://localhost:10028/wp-admin/admin.php?page=advertising-anuncios,WordPress &rsaquo; Error
advertising-dashboard,NO_ACCESS_OR_MISSING,1,includes/modules/advertising/class-advertising-module.php,http://localhost:10028/wp-admin/admin.php?page=advertising-dashboard,WordPress &rsaquo; Error
avisos-activos,AUTH_REQUIRED,1,includes/modules/avisos-municipales/class-avisos-municipales-module.php,http://localhost:10028/wp-admin/admin.php?page=avisos-activos,Avisos Activos &lsaquo; sitio prueba &#8212; WordPress
avisos-municipales-nuevo,NO_ACCESS_OR_MISSING,2,includes/modules/avisos-municipales/class-avisos-municipales-module.php|includes/modules/avisos-municipales/class-avisos-municipales-module.php,http://localhost:10028/wp-admin/admin.php?page=avisos-municipales-nuevo,WordPress &rsaquo; Error
avisos-nuevo,AUTH_REQUIRED,2,includes/modules/avisos-municipales/class-avisos-municipales-module.php|includes/modules/avisos-municipales/class-avisos-municipales-module.php,http://localhost:10028/wp-admin/admin.php?page=avisos-nuevo,Nuevo Aviso &lsaquo; sitio prueba &#8212; WordPress
ayuda-vecinal-solicitudes,AUTH_REQUIRED,1,includes/modules/ayuda-vecinal/class-ayuda-vecinal-module.php,http://localhost:10028/wp-admin/admin.php?page=ayuda-vecinal-solicitudes,Solicitudes &lsaquo; sitio prueba &#8212; WordPress
ayuda-vecinal-voluntarios,AUTH_REQUIRED,1,includes/modules/ayuda-vecinal/class-ayuda-vecinal-module.php,http://localhost:10028/wp-admin/admin.php?page=ayuda-vecinal-voluntarios,Voluntarios &lsaquo; sitio prueba &#8212; WordPress
banco-tiempo-intercambios,AUTH_REQUIRED,1,includes/modules/banco-tiempo/class-banco-tiempo-module.php,http://localhost:10028/wp-admin/admin.php?page=banco-tiempo-intercambios,Intercambios &lsaquo; sitio prueba &#8212; WordPress
banco-tiempo-miembros,AUTH_REQUIRED,1,includes/modules/banco-tiempo/class-banco-tiempo-module.php,http://localhost:10028/wp-admin/admin.php?page=banco-tiempo-miembros,Miembros &lsaquo; sitio prueba &#8212; WordPress
bares-carta,NO_ACCESS_OR_MISSING,1,includes/modules/bares/class-bares-module.php,http://localhost:10028/wp-admin/admin.php?page=bares-carta,WordPress &rsaquo; Error
bares-locales,AUTH_REQUIRED,3,includes/modules/bares/class-bares-module.php|includes/modules/bares/class-bares-module.php|includes/modules/bares/class-bares-module.php,http://localhost:10028/wp-admin/admin.php?page=bares-locales,Locales &lsaquo; sitio prueba &#8212; WordPress
bares-nuevo,NO_ACCESS_OR_MISSING,1,includes/modules/bares/class-bares-module.php,http://localhost:10028/wp-admin/admin.php?page=bares-nuevo,WordPress &rsaquo; Error
bares-reservas,AUTH_REQUIRED,1,includes/modules/bares/class-bares-module.php,http://localhost:10028/wp-admin/admin.php?page=bares-reservas,Reservas &lsaquo; sitio prueba &#8212; WordPress
bicicletas-estaciones,NO_ACCESS_OR_MISSING,1,includes/modules/bicicletas-compartidas/class-bicicletas-compartidas-module.php,http://localhost:10028/wp-admin/admin.php?page=bicicletas-estaciones,WordPress &rsaquo; Error
bicicletas-flota,NO_ACCESS_OR_MISSING,1,includes/modules/bicicletas-compartidas/class-bicicletas-compartidas-module.php,http://localhost:10028/wp-admin/admin.php?page=bicicletas-flota,WordPress &rsaquo; Error
calendario-asistente-ia,AUTH_REQUIRED,2,addons/flavor-admin-assistant/includes/class-admin-assistant-tools.php|addons/flavor-admin-assistant/includes/class-admin-assistant.php,http://localhost:10028/wp-admin/admin.php?page=calendario-asistente-ia,Asistente IA &lsaquo; sitio prueba &#8212; WordPress
calendario-gestion-tickets,NO_ACCESS_OR_MISSING,12,addons/flavor-admin-assistant/includes/class-admin-shortcuts.php|addons/flavor-admin-assistant/includes/class-admin-shortcuts.php|addons/flavor-admin-assistant/includes/class-admin-shortcuts.php|addons/flavor-admin-assistant/includes/class-admin-assistant-tools.php|addons/flavor-admin-assistant/includes/class-admin-assistant-tools.php,http://localhost:10028/wp-admin/admin.php?page=calendario-gestion-tickets,WordPress &rsaquo; Error
calendario_experiencias,AUTH_REQUIRED,6,addons/flavor-admin-assistant/includes/class-admin-shortcuts.php|addons/flavor-admin-assistant/includes/class-admin-assistant-tools.php|addons/flavor-admin-assistant/includes/class-admin-assistant-tools.php|addons/flavor-admin-assistant/includes/class-admin-assistant.php|addons/flavor-admin-assistant/includes/class-admin-assistant.php,http://localhost:10028/wp-admin/admin.php?page=calendario_experiencias,Experience Calendar &lsaquo; sitio prueba &#8212; WordPress
chat-ia-addon-settings,NO_ACCESS_OR_MISSING,1,addons/flavor-admin-assistant/includes/class-admin-assistant.php,http://localhost:10028/wp-admin/admin.php?page=chat-ia-addon-settings,WordPress &rsaquo; Error
clientes-dashboard,AUTH_REQUIRED,1,includes/modules/clientes/class-clientes-module.php,http://localhost:10028/wp-admin/admin.php?page=clientes-dashboard,Dashboard &lsaquo; sitio prueba &#8212; WordPress
clientes-fichas,AUTH_REQUIRED,1,includes/modules/clientes/class-clientes-module.php,http://localhost:10028/wp-admin/admin.php?page=clientes-fichas,Fichas &lsaquo; sitio prueba &#8212; WordPress
clientes-listado,AUTH_REQUIRED,8,includes/modules/clientes/class-clientes-module.php|includes/modules/clientes/class-clientes-module.php|includes/modules/clientes/class-clientes-module.php|includes/modules/clientes/class-clientes-module.php|includes/modules/clientes/class-clientes-module.php,http://localhost:10028/wp-admin/admin.php?page=clientes-listado,Clientes &lsaquo; sitio prueba &#8212; WordPress
clientes-nuevo,NO_ACCESS_OR_MISSING,1,includes/modules/clientes/class-clientes-module.php,http://localhost:10028/wp-admin/admin.php?page=clientes-nuevo,WordPress &rsaquo; Error
compostaje,NO_ACCESS_OR_MISSING,1,includes/modules/compostaje/views/composteras.php,http://localhost:10028/wp-admin/admin.php?page=compostaje,WordPress &rsaquo; Error
comunidades-listado,AUTH_REQUIRED,5,includes/modules/comunidades/class-comunidades-module.php|includes/modules/comunidades/class-comunidades-module.php|includes/modules/comunidades/class-comunidades-module.php|includes/modules/comunidades/class-comunidades-module.php|includes/modules/comunidades/class-comunidades-module.php,http://localhost:10028/wp-admin/admin.php?page=comunidades-listado,Comunidades &lsaquo; sitio prueba &#8212; WordPress
comunidades-miembros,AUTH_REQUIRED,4,includes/modules/comunidades/class-comunidades-module.php|includes/modules/comunidades/class-comunidades-module.php|includes/modules/comunidades/class-comunidades-module.php|includes/modules/comunidades/class-comunidades-module.php,http://localhost:10028/wp-admin/admin.php?page=comunidades-miembros,Miembros &lsaquo; sitio prueba &#8212; WordPress
dex-solana-dashboard,NO_ACCESS_OR_MISSING,2,includes/modules/dex-solana/class-dex-solana-module.php|includes/modules/dex-solana/class-dex-solana-module.php,http://localhost:10028/wp-admin/admin.php?page=dex-solana-dashboard,WordPress &rsaquo; Error
dex-solana-operaciones,NO_ACCESS_OR_MISSING,3,includes/modules/dex-solana/class-dex-solana-module.php|includes/modules/dex-solana/class-dex-solana-module.php|includes/modules/dex-solana/class-dex-solana-module.php,http://localhost:10028/wp-admin/admin.php?page=dex-solana-operaciones,WordPress &rsaquo; Error
eventos-asistentes,AUTH_REQUIRED,1,includes/modules/eventos/class-eventos-module.php,http://localhost:10028/wp-admin/admin.php?page=eventos-asistentes,Asistentes &lsaquo; sitio prueba &#8212; WordPress
eventos-editar,NO_ACCESS_OR_MISSING,1,includes/modules/eventos/class-eventos-module.php,http://localhost:10028/wp-admin/admin.php?page=eventos-editar,WordPress &rsaquo; Error
eventos-nuevo,AUTH_REQUIRED,3,includes/modules/eventos/class-eventos-module.php|includes/modules/eventos/class-eventos-module.php|includes/modules/eventos/class-eventos-module.php,http://localhost:10028/wp-admin/admin.php?page=eventos-nuevo,Nuevo Evento &lsaquo; sitio prueba &#8212; WordPress
eventos-proximos,AUTH_REQUIRED,1,includes/modules/eventos/class-eventos-module.php,http://localhost:10028/wp-admin/admin.php?page=eventos-proximos,Próximos Eventos &lsaquo; sitio prueba &#8212; WordPress
facturas-dashboard,NO_ACCESS_OR_MISSING,1,includes/modules/facturas/class-facturas-module.php,http://localhost:10028/wp-admin/admin.php?page=facturas-dashboard,WordPress &rsaquo; Error
facturas-listado,NO_ACCESS_OR_MISSING,2,includes/modules/facturas/class-facturas-module.php|includes/modules/facturas/class-facturas-module.php,http://localhost:10028/wp-admin/admin.php?page=facturas-listado,WordPress &rsaquo; Error
facturas-nueva,NO_ACCESS_OR_MISSING,2,includes/modules/facturas/class-facturas-module.php|includes/modules/facturas/class-facturas-module.php,http://localhost:10028/wp-admin/admin.php?page=facturas-nueva,WordPress &rsaquo; Error
fichaje-dashboard,AUTH_REQUIRED,1,includes/modules/fichaje-empleados/class-fichaje-empleados-module.php,http://localhost:10028/wp-admin/admin.php?page=fichaje-dashboard,Dashboard &lsaquo; sitio prueba &#8212; WordPress
fichaje-historial,AUTH_REQUIRED,1,includes/modules/fichaje-empleados/class-fichaje-empleados-module.php,http://localhost:10028/wp-admin/admin.php?page=fichaje-historial,Historial &lsaquo; sitio prueba &#8212; WordPress
fichaje-registros-hoy,AUTH_REQUIRED,1,includes/modules/fichaje-empleados/class-fichaje-empleados-module.php,http://localhost:10028/wp-admin/admin.php?page=fichaje-registros-hoy,Registros de hoy &lsaquo; sitio prueba &#8212; WordPress
flavor-,NO_ACCESS_OR_MISSING,2,admin/class-unified-modules-view.php|includes/modules/trait-dashboard-widget.php,http://localhost:10028/wp-admin/admin.php?page=flavor-,WordPress &rsaquo; Error
flavor-activity-log,AUTH_REQUIRED,3,admin/class-dashboard.php|admin/views/dashboard.php|includes/dashboard/class-unified-dashboard.php,http://localhost:10028/wp-admin/admin.php?page=flavor-activity-log,Registro de Actividad &lsaquo; sitio prueba &#8212; WordPress
flavor-addons,AUTH_REQUIRED,7,includes/class-addon-manager.php|admin/class-dashboard.php|admin/class-addon-admin.php|admin/class-addon-admin.php|admin/class-documentation-admin.php,http://localhost:10028/wp-admin/admin.php?page=flavor-addons,Addons &lsaquo; sitio prueba &#8212; WordPress
flavor-admin-assistant,NO_ACCESS_OR_MISSING,1,addons/flavor-admin-assistant/flavor-admin-assistant.php,http://localhost:10028/wp-admin/admin.php?page=flavor-admin-assistant,WordPress &rsaquo; Error
flavor-advertising,NO_ACCESS_OR_MISSING,1,addons/flavor-advertising-pro/flavor-advertising-pro.php,http://localhost:10028/wp-admin/admin.php?page=flavor-advertising,WordPress &rsaquo; Error
flavor-advertising-advertisers,NO_ACCESS_OR_MISSING,2,addons/flavor-advertising-pro/admin/views/dashboard.php|includes/advertising/views/dashboard.php,http://localhost:10028/wp-admin/admin.php?page=flavor-advertising-advertisers,WordPress &rsaquo; Error
flavor-advertising-create,NO_ACCESS_OR_MISSING,2,addons/flavor-advertising-pro/admin/views/dashboard.php|includes/advertising/views/dashboard.php,http://localhost:10028/wp-admin/admin.php?page=flavor-advertising-create,WordPress &rsaquo; Error
flavor-advertising-dashboard,NO_ACCESS_OR_MISSING,2,addons/flavor-advertising-pro/admin/views/settings.php|includes/advertising/views/settings.php,http://localhost:10028/wp-admin/admin.php?page=flavor-advertising-dashboard,WordPress &rsaquo; Error
flavor-advertising-network,NO_ACCESS_OR_MISSING,2,addons/flavor-advertising-pro/admin/views/dashboard.php|includes/advertising/views/dashboard.php,http://localhost:10028/wp-admin/admin.php?page=flavor-advertising-network,WordPress &rsaquo; Error
flavor-advertising-payments,NO_ACCESS_OR_MISSING,4,addons/flavor-advertising-pro/admin/views/dashboard.php|addons/flavor-advertising-pro/admin/views/payments.php|includes/advertising/views/dashboard.php|includes/advertising/views/payments.php,http://localhost:10028/wp-admin/admin.php?page=flavor-advertising-payments,WordPress &rsaquo; Error
flavor-api-docs,AUTH_REQUIRED,1,admin/class-health-check.php,http://localhost:10028/wp-admin/admin.php?page=flavor-api-docs,API Docs &lsaquo; sitio prueba &#8212; WordPress
flavor-app-composer,AUTH_REQUIRED,20,admin/class-dashboard.php|admin/class-documentation-admin.php|admin/class-documentation-admin.php|dev-scripts/verificar-network.php|dev-scripts/poblar-sistema-completo.php,http://localhost:10028/wp-admin/admin.php?page=flavor-app-composer,Compositor &amp; Módulos &lsaquo; sitio prueba &#8212; WordPress
flavor-ayuda-vecinal,NO_ACCESS_OR_MISSING,1,includes/modules/ayuda-vecinal/views/voluntarios.php,http://localhost:10028/wp-admin/admin.php?page=flavor-ayuda-vecinal,WordPress &rsaquo; Error
flavor-bicicletas-bicicletas,NO_ACCESS_OR_MISSING,4,includes/modules/bicicletas-compartidas/views/bicicletas.php|includes/modules/bicicletas-compartidas/views/bicicletas.php|includes/modules/bicicletas-compartidas/views/bicicletas.php|includes/modules/bicicletas-compartidas/views/dashboard.php,http://localhost:10028/wp-admin/admin.php?page=flavor-bicicletas-bicicletas,WordPress &rsaquo; Error
flavor-bicicletas-estaciones,AUTH_REQUIRED,6,includes/modules/bicicletas-compartidas/class-bicicletas-compartidas-module.php|includes/modules/bicicletas-compartidas/views/dashboard.php|includes/modules/bicicletas-compartidas/views/dashboard.php|includes/modules/bicicletas-compartidas/views/estaciones.php|includes/modules/bicicletas-compartidas/views/estaciones.php,http://localhost:10028/wp-admin/admin.php?page=flavor-bicicletas-estaciones,Estaciones &lsaquo; sitio prueba &#8212; WordPress
flavor-bicicletas-flota,AUTH_REQUIRED,2,includes/modules/bicicletas-compartidas/class-bicicletas-compartidas-module.php|includes/modules/bicicletas-compartidas/class-bicicletas-compartidas-module.php,http://localhost:10028/wp-admin/admin.php?page=flavor-bicicletas-flota,Flota &lsaquo; sitio prueba &#8212; WordPress
flavor-bicicletas-mantenimiento,NO_ACCESS_OR_MISSING,6,includes/modules/bicicletas-compartidas/views/bicicletas.php|includes/modules/bicicletas-compartidas/views/dashboard.php|includes/modules/bicicletas-compartidas/views/mantenimiento.php|includes/modules/bicicletas-compartidas/views/mantenimiento.php|includes/modules/bicicletas-compartidas/views/mantenimiento.php,http://localhost:10028/wp-admin/admin.php?page=flavor-bicicletas-mantenimiento,WordPress &rsaquo; Error
flavor-bicicletas-prestamos,AUTH_REQUIRED,2,includes/modules/bicicletas-compartidas/class-bicicletas-compartidas-module.php|includes/modules/bicicletas-compartidas/class-bicicletas-compartidas-module.php,http://localhost:10028/wp-admin/admin.php?page=flavor-bicicletas-prestamos,Préstamos Activos &lsaquo; sitio prueba &#8212; WordPress
flavor-bicicletas-uso,NO_ACCESS_OR_MISSING,1,includes/modules/bicicletas-compartidas/views/dashboard.php,http://localhost:10028/wp-admin/admin.php?page=flavor-bicicletas-uso,WordPress &rsaquo; Error
flavor-bt-settings,NO_ACCESS_OR_MISSING,1,admin/class-unified-modules-view.php,http://localhost:10028/wp-admin/admin.php?page=flavor-bt-settings,WordPress &rsaquo; Error
flavor-carpooling-conductores,NO_ACCESS_OR_MISSING,6,includes/modules/carpooling/views/dashboard.php|includes/modules/carpooling/views/dashboard.php|includes/modules/carpooling/views/conductores.php|includes/modules/carpooling/views/conductores.php|includes/modules/carpooling/views/conductores.php,http://localhost:10028/wp-admin/admin.php?page=flavor-carpooling-conductores,WordPress &rsaquo; Error
flavor-carpooling-reservas,NO_ACCESS_OR_MISSING,5,includes/modules/carpooling/views/dashboard.php|includes/modules/carpooling/views/viajes.php|includes/modules/carpooling/views/reservas.php|includes/modules/carpooling/views/reservas.php|includes/modules/carpooling/views/reservas.php,http://localhost:10028/wp-admin/admin.php?page=flavor-carpooling-reservas,WordPress &rsaquo; Error
flavor-carpooling-viajes,NO_ACCESS_OR_MISSING,6,includes/modules/carpooling/views/dashboard.php|includes/modules/carpooling/views/viajes.php|includes/modules/carpooling/views/viajes.php|includes/modules/carpooling/views/viajes.php|includes/modules/carpooling/views/viajes.php,http://localhost:10028/wp-admin/admin.php?page=flavor-carpooling-viajes,WordPress &rsaquo; Error
flavor-chat-biblioteca,NO_ACCESS_OR_MISSING,3,includes/modules/biblioteca/views/libros.php|includes/modules/biblioteca/views/libros.php|includes/modules/biblioteca/views/libros.php,http://localhost:10028/wp-admin/admin.php?page=flavor-chat-biblioteca,WordPress &rsaquo; Error
flavor-chat-config,AUTH_REQUIRED,8,admin/class-dashboard.php|admin/class-documentation-admin.php|includes/core/class-chat-antispam.php|includes/dashboard/class-dashboard-manager.php|includes/dashboard/class-dashboard-manager.php,http://localhost:10028/wp-admin/admin.php?page=flavor-chat-config,Configuración IA &lsaquo; sitio prueba &#8212; WordPress
flavor-chat-cursos,NO_ACCESS_OR_MISSING,1,includes/modules/cursos/views/cursos.php,http://localhost:10028/wp-admin/admin.php?page=flavor-chat-cursos,WordPress &rsaquo; Error
flavor-chat-ia,AUTH_REQUIRED,1,includes/visual-builder-pro/views/editor-fullscreen.php,http://localhost:10028/wp-admin/admin.php?page=flavor-chat-ia,Flavor Platform &lsaquo; sitio prueba &#8212; WordPress
flavor-chat-ia-escalations,AUTH_REQUIRED,2,includes/core/class-chat-escalation.php|includes/dashboard/class-dashboard-manager.php,http://localhost:10028/wp-admin/admin.php?page=flavor-chat-ia-escalations,Escalados &lsaquo; sitio prueba &#8212; WordPress
flavor-chat-interno-conversaciones,AUTH_REQUIRED,2,includes/modules/chat-interno/class-chat-interno-module.php|includes/modules/chat-interno/class-chat-interno-module.php,http://localhost:10028/wp-admin/admin.php?page=flavor-chat-interno-conversaciones,Conversaciones &lsaquo; sitio prueba &#8212; WordPress
flavor-chat-podcast,NO_ACCESS_OR_MISSING,2,includes/modules/podcast/views/series.php|includes/modules/podcast/views/series.php,http://localhost:10028/wp-admin/admin.php?page=flavor-chat-podcast,WordPress &rsaquo; Error
flavor-chat-podcast-episodios,NO_ACCESS_OR_MISSING,1,includes/modules/podcast/views/episodios.php,http://localhost:10028/wp-admin/admin.php?page=flavor-chat-podcast-episodios,WordPress &rsaquo; Error
flavor-chat-talleres,NO_ACCESS_OR_MISSING,1,includes/modules/talleres/views/talleres.php,http://localhost:10028/wp-admin/admin.php?page=flavor-chat-talleres,WordPress &rsaquo; Error
flavor-compostaje-composteras,AUTH_REQUIRED,2,includes/modules/compostaje/class-compostaje-module.php|includes/modules/compostaje/views/dashboard.php,http://localhost:10028/wp-admin/admin.php?page=flavor-compostaje-composteras,Composteras &lsaquo; sitio prueba &#8212; WordPress
flavor-compostaje-mantenimiento,NO_ACCESS_OR_MISSING,1,includes/modules/compostaje/views/dashboard.php,http://localhost:10028/wp-admin/admin.php?page=flavor-compostaje-mantenimiento,WordPress &rsaquo; Error
flavor-contact-messages,NO_ACCESS_OR_MISSING,1,includes/layouts/class-layout-forms.php,http://localhost:10028/wp-admin/admin.php?page=flavor-contact-messages,WordPress &rsaquo; Error
flavor-dashboard,AUTH_REQUIRED,3,admin/class-setup-wizard.php|admin/class-setup-wizard.php|admin/class-documentation-admin.php,http://localhost:10028/wp-admin/admin.php?page=flavor-dashboard,Dashboard &lsaquo; sitio prueba &#8212; WordPress
flavor-deep-links,AUTH_REQUIRED,1,includes/app-integration/class-app-config-admin.php,http://localhost:10028/wp-admin/admin.php?page=flavor-deep-links,Deep Links &lsaquo; sitio prueba &#8212; WordPress
flavor-design-settings,AUTH_REQUIRED,1,admin/class-documentation-admin.php,http://localhost:10028/wp-admin/admin.php?page=flavor-design-settings,Diseño y Apariencia &lsaquo; sitio prueba &#8212; WordPress
flavor-docs,NO_ACCESS_OR_MISSING,2,admin/class-guided-tours.php|admin/views/tours-panel.php,http://localhost:10028/wp-admin/admin.php?page=flavor-docs,WordPress &rsaquo; Error
flavor-ec-settings,NO_ACCESS_OR_MISSING,1,admin/class-unified-modules-view.php,http://localhost:10028/wp-admin/admin.php?page=flavor-ec-settings,WordPress &rsaquo; Error
